,Date,Time,Cumulative.hrs,Timepoint,Treatment,Boat,Parentage,Well,Perc_surv,Mom,Dad,Cone,NumParents,Parents,Avg.temp,Max.temp,Variab.temp,symb,bleaching.thresHughes,heat.rateMiddlebrook
113,5.12.18,9:40,9,1,35.5C,124,LS x LS,wellE,95,Long Sandy,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,5.12.18,9:40,9,1,35.5C,124,LS x LS,wellF,95,Long Sandy,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,5.12.18,9:40,9,1,35.5C,132,CU x SB,wellA,90,Curd,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,5.12.18,9:40,9,1,35.5C,132,CU x SB,wellB,95,Curd,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,5.12.18,9:40,9,1,35.5C,132,CU x SB,wellC,90,Curd,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,5.12.18,9:40,9,1,35.5C,132,CU x SB,wellD,100,Curd,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,5.12.18,9:40,9,1,35.5C,132,CU x SB,wellE,100,Curd,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,5.12.18,9:40,9,1,35.5C,132,CU x SB,wellF,95,Curd,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,5.12.18,9:40,9,1,35.5C,147,DR x LS,wellA,95,Davies,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,5.12.18,9:40,9,1,35.5C,147,DR x LS,wellB,90,Davies,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,5.12.18,9:40,9,1,35.5C,147,DR x LS,wellC,95,Davies,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,5.12.18,9:40,9,1,35.5C,147,DR x LS,wellD,90,Davies,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,5.12.18,9:40,9,1,35.5C,147,DR x LS,wellE,90,Davies,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,5.12.18,9:40,9,1,35.5C,147,DR x LS,wellF,85,Davies,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,5.12.18,9:40,9,1,35.5C,148,DR x SB,wellA,95,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,5.12.18,9:40,9,1,35.5C,148,DR x SB,wellB,95,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,5.12.18,9:40,9,1,35.5C,148,DR x SB,wellC,100,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,5.12.18,9:40,9,1,35.5C,148,DR x SB,wellD,95,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,5.12.18,9:40,9,1,35.5C,148,DR x SB,wellE,90,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,5.12.18,9:40,9,1,35.5C,148,DR x SB,wellF,95,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,5.12.18,9:40,9,1,35.5C,152,LS x CU,wellA,100,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,5.12.18,9:40,9,1,35.5C,152,LS x CU,wellB,100,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,5.12.18,9:40,9,1,35.5C,152,LS x CU,wellC,100,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,5.12.18,9:40,9,1,35.5C,152,LS x CU,wellD,95,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,5.12.18,9:40,9,1,35.5C,152,LS x CU,wellE,100,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,5.12.18,9:40,9,1,35.5C,152,LS x CU,wellF,100,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,5.12.18,9:40,9,1,35.5C,153,LS x BK,wellA,95,Long Sandy,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,5.12.18,9:40,9,1,35.5C,153,LS x BK,wellB,100,Long Sandy,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,5.12.18,9:40,9,1,35.5C,153,LS x BK,wellC,95,Long Sandy,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,5.12.18,9:40,9,1,35.5C,153,LS x BK,wellD,100,Long Sandy,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,5.12.18,9:40,9,1,35.5C,153,LS x BK,wellE,95,Long Sandy,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,5.12.18,9:40,9,1,35.5C,153,LS x BK,wellF,100,Long Sandy,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,5.12.18,9:40,9,1,35.5C,156,CU x LS,wellA,100,Curd,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,5.12.18,9:40,9,1,35.5C,156,CU x LS,wellB,100,Curd,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,5.12.18,9:40,9,1,35.5C,156,CU x LS,wellC,100,Curd,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,5.12.18,9:40,9,1,35.5C,156,CU x LS,wellD,100,Curd,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,5.12.18,9:40,9,1,35.5C,156,CU x LS,wellE,95,Curd,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,5.12.18,9:40,9,1,35.5C,156,CU x LS,wellF,95,Curd,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,5.12.18,9:40,9,1,35.5C,162,CU x BK,wellA,100,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,5.12.18,9:40,9,1,35.5C,162,CU x BK,wellB,100,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,5.12.18,9:40,9,1,35.5C,162,CU x BK,wellC,95,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,5.12.18,9:40,9,1,35.5C,162,CU x BK,wellD,90,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,5.12.18,9:40,9,1,35.5C,162,CU x BK,wellE,90,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,5.12.18,9:40,9,1,35.5C,162,CU x BK,wellF,90,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,5.12.18,9:40,9,1,35.5C,163,CU x BK,wellA,95,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,5.12.18,9:40,9,1,35.5C,163,CU x BK,wellB,95,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,5.12.18,9:40,9,1,35.5C,163,CU x BK,wellC,90,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,5.12.18,9:40,9,1,35.5C,163,CU x BK,wellD,100,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,5.12.18,9:40,9,1,35.5C,163,CU x BK,wellE,100,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,5.12.18,9:40,9,1,35.5C,163,CU x BK,wellF,95,Curd,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,5.12.18,9:40,9,1,35.5C,164,CU x DR,wellA,95,Curd,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,5.12.18,9:40,9,1,35.5C,164,CU x DR,wellB,95,Curd,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,5.12.18,9:40,9,1,35.5C,164,CU x DR,wellC,95,Curd,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,5.12.18,9:40,9,1,35.5C,164,CU x DR,wellD,90,Curd,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,5.12.18,9:40,9,1,35.5C,164,CU x DR,wellE,100,Curd,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,5.12.18,9:40,9,1,35.5C,164,CU x DR,wellF,95,Curd,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,5.12.18,9:40,9,1,35.5C,165,DR x CU,wellA,95,Davies,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,5.12.18,9:40,9,1,35.5C,165,DR x CU,wellB,100,Davies,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,5.12.18,9:40,9,1,35.5C,165,DR x CU,wellC,100,Davies,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,5.12.18,9:40,9,1,35.5C,165,DR x CU,wellD,95,Davies,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,5.12.18,9:40,9,1,35.5C,165,DR x CU,wellE,90,Davies,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA
