,Order,POSITION,SINGLE.CLUMP,Date,Timepoint,Treatment,Zoox,Tank,Replicate,Plate,Well,Mom,Dad,Family,Genetic,Recruit,Survival.T1,Condition
174,8052,centre flat,s,25/02/2019,T8,26,C1,2,2,11,4,DR,SB,DRxSB,CrossAmbo,2.11.4.1,2,1
175,345,edge flat,s,30/12/2019,T1,26,C1,2,2,11,4,DR,SB,DRxSB,CrossAmbo,2.11.4.2,2,1
176,8053,edge flat,s,25/02/2019,T8,26,C1,2,2,11,4,DR,SB,DRxSB,CrossAmbo,2.11.4.2,2,1
177,348,centre flat,s,30/12/2019,T1,26,C1,2,2,11,5,DR,SB,DRxSB,CrossAmbo,2.11.5.1,2,1
178,8056,centre flat,s,25/02/2019,T8,26,C1,2,2,11,5,DR,SB,DRxSB,CrossAmbo,2.11.5.1,2,1
179,349,centre flat,s,30/12/2019,T1,26,C1,2,2,11,5,DR,SB,DRxSB,CrossAmbo,2.11.5.2,2,1
180,8057,centre flat,s,25/02/2019,T8,26,C1,2,2,11,5,DR,SB,DRxSB,CrossAmbo,2.11.5.2,2,1
181,500,CENTRE FLAT,s,30/12/2019,T1,26,C1,2,2,12,2,CU,CU,CUxCU,PureAmbo,2.12.2.1,2,1
182,8208,CENTRE FLAT,s,25/02/2019,T8,26,C1,2,2,12,2,CU,CU,CUxCU,PureAmbo,2.12.2.1,2,1
183,501,CENTRE FLAT,s,30/12/2019,T1,26,C1,2,2,12,2,CU,CU,CUxCU,PureAmbo,2.12.2.2,2,1
184,8209,CENTRE FLAT,s,25/02/2019,T8,26,C1,2,2,12,2,CU,CU,CUxCU,PureAmbo,2.12.2.2,2,1
185,504,CENTRE FLAT,s,30/12/2019,T1,26,C1,2,2,12,3,CU,CU,CUxCU,PureAmbo,2.12.3.1,2,1
186,8212,CENTRE FLAT,s,25/02/2019,T8,26,C1,2,2,12,3,CU,CU,CUxCU,PureAmbo,2.12.3.1,2,1
187,360,centre flat,s,30/12/2019,T1,26,C1,2,2,16,2,CU,SB,CUxSB,CrossAmbo,2.16.2.1,2,1
