order,Date,Time,Cumulative.hrs,Timepoint,Treatment,Treatment,Boat,Parentage,Well,Alive,Perc_surv,Mom,Dad,Cone,NumParents,Parents,Avg.temp,Max.temp,Variab.temp,symb,bleaching.thresHughes,heat.rateMiddlebrook,lifestage,n.risk,n.event,n.censor,estimate,std.error,conf.high,conf.low,Zoox,Tank,TotalMom,TotalDad
43,7.12.18,8:30,56,4,35.5C,Hot,79,BKxCU,wellA,11,55,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
44,7.12.18,8:30,56,4,35.5C,Hot,79,BKxCU,wellB,13,65,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
45,7.12.18,8:30,56,4,35.5C,Hot,79,BKxCU,wellC,16,80,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
46,7.12.18,8:30,56,4,35.5C,Hot,79,BKxCU,wellD,19,95,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
47,7.12.18,8:30,56,4,35.5C,Hot,79,BKxCU,wellE,11,55,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
48,7.12.18,8:30,56,4,35.5C,Hot,79,BKxCU,wellF,16,80,Backnumbers,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,7
49,7.12.18,8:30,56,4,35.5C,Hot,82,BKxSB,wellA,8,40,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
50,7.12.18,8:30,56,4,35.5C,Hot,82,BKxSB,wellB,10,50,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
51,7.12.18,8:30,56,4,35.5C,Hot,82,BKxSB,wellC,7,35,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
52,7.12.18,8:30,56,4,35.5C,Hot,82,BKxSB,wellD,11,55,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
53,7.12.18,8:30,56,4,35.5C,Hot,82,BKxSB,wellE,12,60,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
54,7.12.18,8:30,56,4,35.5C,Hot,82,BKxSB,wellF,14,70,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
55,7.12.18,8:30,56,4,35.5C,Hot,89,DRxSB,wellA,8,40,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
56,7.12.18,8:30,56,4,35.5C,Hot,89,DRxSB,wellB,18,90,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
57,7.12.18,8:30,56,4,35.5C,Hot,89,DRxSB,wellC,17,85,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
58,7.12.18,8:30,56,4,35.5C,Hot,89,DRxSB,wellD,12,60,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
59,7.12.18,8:30,56,4,35.5C,Hot,89,DRxSB,wellE,17,85,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
60,7.12.18,8:30,56,4,35.5C,Hot,89,DRxSB,wellF,15,75,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
61,7.12.18,8:30,56,4,35.5C,Hot,98,BKxSB,wellA,13,65,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
62,7.12.18,8:30,56,4,35.5C,Hot,98,BKxSB,wellB,14,70,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
63,7.12.18,8:30,56,4,35.5C,Hot,98,BKxSB,wellC,14,70,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
64,7.12.18,8:30,56,4,35.5C,Hot,98,BKxSB,wellD,15,75,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
65,7.12.18,8:30,56,4,35.5C,Hot,98,BKxSB,wellE,12,60,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
66,7.12.18,8:30,56,4,35.5C,Hot,98,BKxSB,wellF,6,30,Backnumbers,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,7,4
67,7.12.18,8:30,56,4,35.5C,Hot,100,DRxDR,wellA,1,5,Davies,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
68,7.12.18,8:30,56,4,35.5C,Hot,100,DRxDR,wellB,5,25,Davies,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
69,7.12.18,8:30,56,4,35.5C,Hot,100,DRxDR,wellC,7,35,Davies,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
70,7.12.18,8:30,56,4,35.5C,Hot,100,DRxDR,wellD,4,20,Davies,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
71,7.12.18,8:30,56,4,35.5C,Hot,100,DRxDR,wellE,4,20,Davies,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
72,7.12.18,8:30,56,4,35.5C,Hot,100,DRxDR,wellF,6,30,Davies,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
73,7.12.18,8:30,56,4,35.5C,Hot,102,SBxCU,wellA,10,50,Sand Bank 7,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
